"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"0","1","0","0.3","0.06","0.05","0.06","0.07","0.07","0.07","0.06","0.05","0.06","1"
"0","2","0","0.28","0.06","0.05","0.06","0.07","0.07","0.07","0.08","0.06","0.03","1"
"0","3","0.08","0.22","0.05","0.03","0.05","0.08","0.08","0.08","0.09","0.07","0.05","1"
"0","4","0.09","0.21","0.07","0","0.07","0.08","0.08","0.08","0.14","0.11","0.08","1"
"0","5","0.09","0.21","0.05","0.06","0.06","0.08","0.08","0.08","0.1","0.05","0.06","1"
"0","6","0.08","0.2","0.04","0.02","0.05","0.08","0.08","0.08","0.06","0.07","0.05","1"
"0","7","0.07","0.24","0.05","0.04","0.06","0.07","0.07","0.06","0.07","0.09","0.04","1"
"0","8","0.05","0.08","0.03","0","0.05","0.06","0.06","0.05","0.03","0.06","0.08","1"
"0","9","0","0.27","0.04","0.06","0.04","0.03","0.03","0.02","0.05","0.03","0.1","1"
"0","10","0","0.24","0.05","0.05","0.04","0.03","0.03","0.02","0.08","0.03","0.07","1"
"0","11","0.06","0.16","0.02","0.05","0.03","0.05","0.05","0.05","0.03","0.06","0.09","1"
"0","12","0.04","0.34","0.03","0.02","0.05","0.05","0.05","0.05","0.06","0.07","0.06","1"
"0","13","0.04","0.16","0.04","0.01","0.08","0.06","0.05","0.06","0.03","0.05","0.07","1"
"0","14","0.06","0.17","0.04","0.03","0.05","0.06","0.06","0.05","0.02","0.01","0.04","1"
"0","15","0.06","0.13","0.05","0.01","0.05","0.06","0.05","0.07","0.04","0.02","0.04","1"
"0","16","0.07","0.25","0.05","0.03","0.04","0.08","0.08","0.06","0.05","0.04","0.06","1"
"0","17","0","0.33","0.06","0.06","0.04","0.07","0.07","0.06","0.05","0.04","0.08","1"
"0","18","0","0.36","0.09","0.08","0.06","0.07","0.07","0.06","0.06","0.07","0.06","1"
"0","19","0","0.3","0.08","0.05","0.04","0.07","0.07","0.06","0.07","0.05","0.07","1"
"0","20","0.07","0.33","0.07","0.07","0.06","0.07","0.07","0.06","0.04","0.06","0.07","1"
"0","21","0.07","0.21","0.07","0.06","0.06","0.07","0.07","0.07","0.02","0.03","0.04","1"
"0","22","0.05","0.26","0.05","0.14","0.06","0.06","0.06","0.06","0.04","0.04","0.07","1"
"0","23","0.05","0.24","0.05","0.15","0.05","0.05","0.05","0.05","0.04","0.03","0.05","1"
"0","24","0","0.21","0.07","0.14","0.06","0.05","0.05","0.05","0.02","0.03","0.05","1"
"0","25","0","0.22","0.06","0.18","0.04","0.05","0.05","0.05","0.01","0.04","0.09","1"
"0","26","0","0.18","0.06","0.16","0.04","0.05","0.05","0.05","0.01","0.02","0.05","1"
"0","27","0","0.22","0.07","0.19","0.05","0.05","0.05","0.05","0.01","0.01","0.07","1"
"0","28","0","0.21","0.06","0.18","0.04","0.05","0.05","0.05","0.03","0.02","0.06","1"
"0","29","0","0.21","0.09","0.16","0.04","0.05","0.05","0.05","0.04","0.04","0.08","1"
"0","30","0","0.22","0.05","0.16","0.04","0.05","0.05","0.05","0.03","0.03","0.06","1"
"0","31","0","0.2","0.08","0.16","0.04","0.05","0.05","0.05","0.05","0.06","0.03","1"
"0","32","0","0.25","0.07","0.16","0.04","0.05","0.05","0.05","0.02","0.01","0.05","1"
"0","33","0.05","0.14","0.04","0.13","0.05","0.05","0.05","0.05","0.01","0.02","0.05","1"
"0","34","0","0.29","0.09","0.1","0.06","0.05","0.05","0.05","0.01","0.02","0.07","1"
"0","35","0","0.27","0.1","0.12","0.07","0.05","0.05","0.05","0.01","0","0.07","1"
"0","36","0","0.26","0.08","0.12","0.07","0.05","0.05","0.05","0.03","0.04","0.07","1"
"0","37","0.08","0.12","0.06","0.06","0.04","0.08","0.07","0.09","0.01","0.03","0.07","1"
"0","38","0.09","0.27","0.03","0.04","0.04","0.05","0.05","0.05","0.11","0.11","0.06","1"
"0","39","0","0.32","0.03","0.03","0.05","0.04","0.04","0.04","0.09","0.11","0.06","1"
"0","40","0","0.29","0.02","0.04","0.05","0.04","0.04","0.04","0.12","0.12","0.05","1"
"0","41","0","0.28","0.03","0.05","0.04","0.04","0.04","0.04","0.11","0.09","0.09","1"
"0","42","0","0.29","0.05","0.05","0.05","0.04","0.04","0.04","0.1","0.09","0.06","1"
"0","43","0.08","0.29","0.04","0.04","0.03","0.04","0.04","0.04","0.09","0.09","0.08","1"
"0","44","0.08","0.3","0.04","0.02","0.04","0.04","0.04","0.05","0.09","0.09","0.03","1"
"0","45","0.07","0.32","0.06","0.03","0.03","0.04","0.04","0.04","0.11","0.1","0.04","1"
"0","46","0.06","0.23","0.04","0.01","0.03","0.07","0.07","0.07","0.08","0.11","0.05","1"
"0","47","0.08","0.29","0.08","0.01","0.09","0.09","0.09","0.09","0.07","0.08","0.08","1"
"0","48","0.06","0.08","0.02","0","0.04","0.09","0.09","0.11","0.04","0.08","0.04","1"
"0","49","0.02","0.32","0.02","0.02","0.03","0.06","0.06","0.05","0.06","0.07","0.1","1"
"0","50","0.04","0.06","0.03","0","0.05","0.05","0.05","0.06","0.06","0.06","0.07","1"
"0","51","0.04","0.31","0.08","0.06","0.06","0.04","0.04","0.04","0.08","0.07","0.06","1"
"0","52","0","0.32","0.07","0.06","0.09","0.03","0.03","0.03","0.1","0.07","0.06","1"
"0","53","0","0.32","0.06","0.06","0.08","0.03","0.03","0.03","0.09","0.06","0.05","1"
"0","54","0","0.32","0.08","0.05","0.07","0.03","0.03","0.03","0.05","0.07","0.04","1"
"0","55","0","0.32","0.08","0.05","0.06","0.03","0.03","0.03","0.06","0.07","0.05","1"
"0","56","0","0.28","0.07","0.06","0.1","0.03","0.03","0.03","0.04","0.05","0.06","1"
"0","57","0","0.32","0.08","0.06","0.06","0.03","0.03","0.03","0.08","0.06","0.06","1"
"0","58","0","0.32","0.09","0.05","0.07","0.03","0.03","0.03","0.03","0.06","0.07","1"
"0","59","0","0.33","0.06","0.06","0.09","0.03","0.03","0.03","0.08","0.05","0.07","1"
"0","60","0","0.29","0.08","0.05","0.08","0.03","0.03","0.03","0.08","0.08","0.05","1"
"0","61","0","0.34","0.08","0.05","0.07","0.03","0.03","0.03","0.11","0.06","0.06","1"
"0","62","0","0.3","0.08","0.06","0.08","0.03","0.03","0.03","0.06","0.05","0.05","1"
"0","63","0","0.32","0.07","0.05","0.06","0.03","0.03","0.03","0.1","0.08","0.05","1"
"0","64","0","0.32","0.08","0.05","0.07","0.03","0.03","0.03","0.09","0.05","0.06","1"
"0","65","0","0.32","0.07","0.06","0.1","0.03","0.03","0.03","0.05","0.1","0.04","1"
"0","66","0.03","0.28","0.06","0.04","0.07","0.03","0.03","0.03","0.08","0.07","0.06","1"
"0","67","0.03","0.17","0.05","0.04","0.08","0.05","0.05","0.05","0.1","0.1","0.05","1"
"0","68","0.04","0.33","0.03","0.04","0.04","0.05","0.05","0.05","0.09","0.07","0.07","1"
"0","69","0","0.31","0.03","0.02","0.04","0.05","0.05","0.05","0.06","0.08","0.08","1"
"0","70","0","0.36","0.04","0.05","0.03","0.05","0.05","0.05","0.09","0.07","0.07","1"
"0","71","0","0.34","0.03","0.05","0.03","0.05","0.05","0.05","0.1","0.09","0.07","1"
"0","72","0.05","0.19","0.05","0.02","0.05","0.06","0.06","0.06","0.08","0.12","0.08","1"
"0","73","0.05","0.23","0.06","0.03","0.06","0.05","0.05","0.06","0.1","0.09","0.07","1"
"0","74","0.05","0.35","0.05","0.06","0.06","0.05","0.04","0.04","0.12","0.11","0.07","1"
"0","75","0.07","0.07","0.05","0.01","0.07","0.13","0.12","0.13","0.02","0.06","0.09","1"
"0","76","0","0.24","0.05","0.03","0.07","0.05","0.05","0.05","0.04","0.04","0.06","1"
"0","77","0","0.27","0.06","0","0.07","0.06","0.06","0.06","0.05","0.04","0.09","1"
"0","78","0.04","0.01","0.01","0.01","0.03","0.09","0.08","0.12","0.07","0.07","0.04","1"
"0","79","0.04","0.11","0.04","0.02","0.05","0.03","0.03","0.03","0.05","0.07","0.04","1"
"0","80","0.04","0.17","0.04","0.01","0.05","0.04","0.04","0.04","0.02","0.04","0.05","1"
"0","81","0.02","0.05","0.02","0.01","0.04","0.06","0.06","0.07","0.01","0.05","0.04","1"
"0","82","0.05","0.14","0.05","0.04","0.06","0.04","0.04","0.04","0.09","0.08","0.04","1"
"0","83","0.04","0.06","0.01","0","0.03","0.06","0.05","0.06","0.06","0.06","0.05","1"
"0","84","0.04","0.13","0.03","0","0.03","0.02","0.02","0.02","0.07","0.07","0.03","1"
"0","85","0.05","0.31","0.04","0.03","0.05","0.03","0.03","0.03","0.07","0.06","0.03","1"
"0","86","0.06","0.23","0.02","0.03","0.01","0.06","0.06","0.06","0.06","0.05","0.04","1"
"0","87","0.02","0.27","0.01","0.03","0.01","0.05","0.05","0.04","0.04","0.01","0.04","1"
"0","88","0.03","0.14","0.02","0","0.01","0.06","0.06","0.05","0.02","0.03","0.01","1"
"0","89","0.02","0.16","0.04","0","0.03","0.03","0.02","0.04","0.04","0.03","0.03","1"
"0","90","0.03","0.24","0.05","0","0.03","0.03","0.03","0.03","0.02","0.02","0.05","1"
"0","91","0.04","0.2","0.02","0.01","0.03","0.04","0.04","0.02","0.05","0.02","0.05","1"
"0","92","0.03","0.27","0.04","0.02","0.03","0.03","0.03","0.03","0.04","0.04","0.05","1"
"0","93","0.03","0.3","0.02","0.02","0.04","0.02","0.02","0.02","0.06","0.05","0.04","1"
"0","94","0.03","0.22","0.02","0.01","0.03","0.03","0.03","0.02","0.04","0.04","0.03","1"
"0","95","0.03","0.22","0.02","0","0.03","0.04","0.04","0.03","0.08","0.07","0.03","1"
"0","96","0.02","0.21","0.01","0","0.02","0.04","0.04","0.03","0.03","0.02","0.02","1"
"0","97","0.02","0.25","0.03","0.01","0.03","0.02","0.02","0.02","0.03","0.01","0.03","1"
"0","98","0.02","0.23","0.03","0.02","0.02","0.02","0.02","0.02","0.06","0.04","0.02","1"
"0","99","0.02","0.19","0.02","0","0.02","0.03","0.03","0.02","0.05","0.03","0.03","1"
"0.005","1","0","0.25","0.05","0.05","0.06","0.05","0.05","0.05","0.06","0.06","0.04","1"
"0.005","2","0","0.24","0.06","0.06","0.06","0.05","0.05","0.05","0.07","0.07","0.07","1"
"0.005","3","0.04","0.26","0.04","0.04","0.04","0.05","0.05","0.05","0.07","0.1","0.04","1"
"0.005","4","0.05","0.2","0.04","0.03","0.04","0.05","0.05","0.05","0.11","0.09","0.06","1"
"0.005","5","0.07","0.25","0.05","0.02","0.05","0.05","0.05","0.05","0.08","0.07","0.06","1"
"0.005","6","0.07","0.27","0.06","0.03","0.05","0.05","0.05","0.06","0.08","0.07","0.05","1"
"0.005","7","0.07","0.27","0.04","0.05","0.05","0.06","0.06","0.06","0.1","0.06","0.07","1"
"0.005","8","0.08","0.07","0.06","0.01","0.07","0.09","0.09","0.11","0.03","0.08","0.1","1"
"0.005","9","0","0.31","0.08","0.04","0.07","0.08","0.08","0.08","0.1","0.13","0.09","1"
"0.005","10","0","0.37","0.08","0.03","0.08","0.08","0.08","0.08","0.06","0.09","0.09","1"
"0.005","11","0.1","0.25","0.06","0.01","0.08","0.09","0.09","0.09","0.05","0.09","0.12","1"
"0.005","12","0.08","0.29","0.06","0.04","0.06","0.07","0.07","0.08","0.09","0.08","0.09","1"
"0.005","13","0.07","0.17","0.07","0.03","0.08","0.08","0.08","0.08","0.06","0.08","0.08","1"
"0.005","14","0.06","0.24","0.03","0.04","0.02","0.04","0.04","0.04","0.06","0.06","0.08","1"
"0.005","15","0.07","0.21","0.06","0.02","0.06","0.04","0.04","0.05","0.04","0.1","0.06","1"
"0.005","16","0.07","0.16","0.04","0.04","0.04","0.04","0.04","0.03","0.08","0.09","0.08","1"
"0.005","17","0","0.16","0.03","0.07","0.03","0.04","0.04","0.03","0.02","0.06","0.08","1"
"0.005","18","0","0.17","0.04","0.07","0.03","0.04","0.04","0.03","0.04","0.06","0.05","1"
"0.005","19","0","0.17","0.04","0.06","0.04","0.04","0.04","0.03","0.03","0.04","0.08","1"
"0.005","20","0.08","0.16","0.05","0.06","0.04","0.05","0.04","0.04","0.02","0.01","0.05","1"
"0.005","21","0.08","0.14","0.03","0.09","0.03","0.04","0.04","0.04","0.02","0.04","0.09","1"
"0.005","22","0.09","0.2","0.04","0.12","0.04","0.04","0.04","0.04","0.04","0.05","0.08","1"
"0.005","23","0.09","0.22","0.07","0.17","0.04","0.04","0.04","0.04","0.04","0.06","0.07","1"
"0.005","24","0","0.22","0.05","0.21","0.04","0.04","0.04","0.04","0.03","0.04","0.03","1"
"0.005","25","0","0.19","0.05","0.23","0.04","0.04","0.04","0.04","0.04","0.05","0.07","1"
"0.005","26","0","0.17","0.06","0.21","0.03","0.04","0.04","0.04","0.05","0.08","0.07","1"
"0.005","27","0","0.19","0.06","0.2","0.04","0.04","0.04","0.04","0.03","0.05","0.06","1"
"0.005","28","0","0.19","0.05","0.18","0.04","0.04","0.04","0.04","0.06","0.07","0.05","1"
"0.005","29","0","0.22","0.05","0.23","0.04","0.04","0.04","0.04","0.02","0.04","0.03","1"
