"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"hs","1","0","0.28","0.07","0.04","0.06","0.06","0.06","0.06","0.07","0.05","0.05","0.02"
"hs","2","0","0.29","0.05","0.05","0.07","0.06","0.06","0.06","0.09","0.04","0.07","0.02"
"hs","3","0.05","0.21","0.06","0","0.06","0.06","0.06","0.06","0.07","0.03","0.05","0.02"
"hs","4","0.05","0.24","0.06","0.01","0.06","0.04","0.04","0.04","0.04","0.05","0.05","0.02"
"hs","5","0.06","0.25","0.07","0","0.07","0.04","0.04","0.04","0.04","0.04","0.03","0.02"
"hs","6","0.06","0.22","0.07","0.02","0.08","0.04","0.04","0.04","0.05","0.06","0.05","0.03"
"hs","7","0.06","0.25","0.07","0.01","0.07","0.04","0.04","0.04","0.11","0.05","0.04","0.03"
"hs","8","0.07","0.15","0.07","0","0.07","0.06","0.06","0.06","0.02","0.03","0.05","0.03"
"hs","9","0","0.33","0.07","0.01","0.06","0.04","0.04","0.04","0.05","0.02","0.06","0.01"
"hs","10","0","0.36","0.07","0.01","0.07","0.04","0.04","0.04","0.04","0.02","0.04","0.01"
"hs","11","0.06","0.34","0.05","0.01","0.06","0.05","0.05","0.05","0.06","0.02","0.08","0.01"
"hs","12","0.05","0.3","0.03","0","0.06","0.04","0.04","0.04","0.07","0.08","0.07","0.01"
"hs","13","0.04","0.28","0.05","0","0.04","0.05","0.05","0.04","0.05","0.04","0.03","0.01"
"hs","14","0.06","0.2","0.02","0.02","0.05","0.05","0.05","0.04","0.03","0.04","0.03","0.02"
"hs","15","0.06","0.28","0.02","0.01","0.04","0.05","0.05","0.05","0.02","0.03","0.02","0.02"
"hs","16","0.06","0.3","0.07","0","0.05","0.05","0.05","0.05","0","0","0.03","0.02"
"hs","17","0","0.37","0.04","0","0.07","0.05","0.05","0.05","0.01","0.02","0.05","0.01"
"hs","18","0","0.38","0.07","0","0.07","0.05","0.05","0.05","0","0.01","0.02","0.01"
"hs","19","0","0.37","0.07","0","0.05","0.05","0.05","0.05","0","0","0.02","0.01"
"hs","20","0.06","0.31","0.04","0","0.04","0.05","0.05","0.05","0.01","0.02","0.04","0.01"
"hs","21","0.06","0.32","0.05","0.01","0.07","0.06","0.06","0.06","0.02","0.01","0.02","0.02"
"hs","22","0.06","0.32","0.04","0.04","0.06","0.06","0.06","0.06","0.01","0.02","0.04","0.02"
"hs","23","0.06","0.3","0.04","0.05","0.05","0.06","0.06","0.06","0","0.03","0.02","0.02"
"hs","24","0","0.27","0.05","0.06","0.05","0.06","0.06","0.06","0","0.01","0.04","0.02"
"hs","25","0","0.29","0.05","0.05","0.05","0.06","0.06","0.06","0","0","0.04","0.02"
"hs","26","0","0.3","0.04","0.06","0.05","0.06","0.06","0.06","0.01","0.02","0.03","0.02"
"hs","27","0","0.31","0.03","0.07","0.03","0.06","0.06","0.06","0.01","0.03","0.05","0.02"
"hs","28","0","0.3","0.07","0.05","0.05","0.06","0.06","0.06","0.01","0.03","0.03","0.02"
"hs","29","0","0.31","0.04","0.07","0.05","0.06","0.06","0.06","0.02","0.03","0.06","0.02"
"hs","30","0","0.32","0.04","0.06","0.04","0.06","0.06","0.06","0.01","0.02","0.04","0.02"
"hs","31","0","0.3","0.04","0.06","0.05","0.06","0.06","0.06","0","0.03","0.03","0.02"
"hs","32","0","0.31","0.05","0.04","0.06","0.06","0.06","0.06","0.02","0.03","0.04","0.02"
"hs","33","0.06","0.27","0.04","0.03","0.04","0.06","0.06","0.06","0.04","0.01","0.02","0.02"
"hs","34","0","0.32","0.08","0.06","0.05","0.05","0.05","0.05","0","0.01","0.03","0.02"
"hs","35","0","0.31","0.07","0.07","0.03","0.05","0.05","0.05","0.03","0","0.02","0.02"
"hs","36","0","0.31","0.06","0.09","0.05","0.05","0.05","0.05","0.01","0","0.04","0.02"
"hs","37","0.07","0.27","0.06","0.04","0.04","0.06","0.06","0.07","0","0.02","0.04","0.02"
"hs","38","0.07","0.25","0.04","0.02","0.04","0.05","0.05","0.05","0.01","0.05","0.05","0"
"hs","39","0","0.3","0.05","0.03","0.05","0.05","0.05","0.05","0.03","0.03","0.07","0"
"hs","40","0","0.31","0.04","0.03","0.06","0.05","0.05","0.05","0.02","0.03","0.05","0"
"hs","41","0","0.31","0.04","0.05","0.05","0.05","0.05","0.05","0.02","0.04","0.05","0"
"hs","42","0","0.31","0.06","0.04","0.05","0.05","0.05","0.05","0.02","0.04","0.04","0"
"hs","43","0.07","0.3","0.05","0.02","0.05","0.05","0.05","0.05","0.03","0.05","0.05","0"
"hs","44","0.07","0.26","0.05","0.03","0.07","0.05","0.04","0.05","0.06","0.09","0.06","0"
"hs","45","0.07","0.31","0.07","0.03","0.07","0.04","0.04","0.04","0.04","0.07","0.05","0"
"hs","46","0.07","0.23","0.07","0","0.05","0.05","0.05","0.05","0.05","0.06","0.04","0"
"hs","47","0.07","0.25","0.03","0","0.04","0.04","0.04","0.04","0.03","0.01","0.05","0"
