"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"hs","1","0","0.28","0.1","0.05","0.11","0.11","0.11","0.1","0.05","0.05","1","1"
"hs","2","0","0.29","0.11","0.05","0.12","0.11","0.11","0.1","0.08","0.05","1","1"
"hs","3","0.11","0.21","0.1","0.01","0.11","0.11","0.11","0.12","0.06","0.04","1","1"
"hs","4","0.08","0.24","0.1","0.02","0.09","0.1","0.1","0.1","0.01","0.07","1","1"
"hs","5","0.1","0.25","0.11","0.01","0.13","0.1","0.1","0.09","0","0.04","1","1"
"hs","6","0.09","0.22","0.09","0.03","0.1","0.08","0.09","0.08","0.03","0.06","1","1"
"hs","7","0.09","0.25","0.1","0.03","0.08","0.08","0.09","0.08","0.09","0.05","1","1"
"hs","8","0.11","0.15","0.1","0","0.1","0.15","0.15","0.14","0.01","0.05","1","1"
"hs","9","0","0.33","0.12","0.01","0.14","0.13","0.14","0.12","0.05","0.02","1","1"
"hs","10","0","0.36","0.11","0.02","0.14","0.13","0.14","0.12","0.04","0.02","1","1"
"hs","11","0.15","0.34","0.12","0.03","0.16","0.17","0.17","0.16","0.05","0.02","1","1"
"hs","12","0.15","0.3","0.09","0","0.13","0.16","0.16","0.15","0.05","0.08","1","1"
"hs","13","0.13","0.28","0.1","0","0.1","0.16","0.15","0.15","0.03","0.04","1","1"
"hs","14","0.13","0.2","0.09","0.03","0.11","0.14","0.14","0.13","0.03","0.04","1","1"
"hs","15","0.14","0.28","0.11","0.01","0.13","0.14","0.16","0.14","0.01","0.03","1","1"
"hs","16","0.12","0.3","0.12","0","0.12","0.13","0.13","0.11","0","0","1","1"
"hs","17","0","0.37","0.12","0","0.12","0.11","0.11","0.1","0","0.03","1","1"
"hs","18","0","0.38","0.12","0.02","0.12","0.11","0.11","0.11","0","0.01","1","1"
"hs","19","0","0.37","0.11","0","0.12","0.11","0.11","0.1","0","0.02","1","1"
"hs","20","0.13","0.31","0.09","0","0.09","0.11","0.11","0.1","0","0.02","1","1"
"hs","21","0.13","0.32","0.07","0.04","0.08","0.12","0.12","0.12","0.02","0.01","1","1"
"hs","22","0.13","0.32","0.08","0.04","0.09","0.12","0.12","0.11","0.01","0.02","1","1"
"hs","23","0.13","0.3","0.1","0.06","0.09","0.12","0.12","0.12","0","0.03","1","1"
"hs","24","0","0.27","0.11","0.09","0.09","0.12","0.12","0.12","0","0.02","1","1"
"hs","25","0","0.29","0.13","0.06","0.1","0.12","0.12","0.12","0","0","1","1"
"hs","26","0","0.3","0.11","0.06","0.1","0.12","0.12","0.12","0.01","0.03","1","1"
"hs","27","0","0.31","0.12","0.07","0.1","0.12","0.12","0.12","0","0.03","1","1"
"hs","28","0","0.3","0.12","0.07","0.11","0.12","0.12","0.12","0.01","0.03","1","1"
"hs","29","0","0.31","0.12","0.08","0.09","0.12","0.12","0.12","0.01","0.03","1","1"
"hs","30","0","0.32","0.11","0.07","0.11","0.12","0.12","0.12","0","0.03","1","1"
"hs","31","0","0.3","0.11","0.09","0.1","0.12","0.12","0.12","0","0.03","1","1"
"hs","32","0","0.31","0.12","0.07","0.09","0.12","0.12","0.12","0.01","0.04","1","1"
"hs","33","0.13","0.27","0.1","0.06","0.1","0.12","0.12","0.12","0.02","0.02","1","1"
"hs","34","0","0.32","0.13","0.08","0.1","0.11","0.12","0.11","0","0.01","1","1"
"hs","35","0","0.31","0.12","0.07","0.1","0.11","0.12","0.11","0.01","0","1","1"
"hs","36","0","0.31","0.13","0.1","0.13","0.11","0.12","0.11","0.01","0","1","1"
"hs","37","0.12","0.27","0.13","0.06","0.11","0.14","0.14","0.14","0","0.03","1","1"
"hs","38","0.11","0.25","0.07","0.04","0.09","0.11","0.11","0.11","0.01","0.05","1","1"
"hs","39","0","0.3","0.08","0.05","0.1","0.11","0.11","0.11","0.03","0.03","1","1"
"hs","40","0","0.31","0.08","0.05","0.11","0.1","0.1","0.11","0.02","0.03","1","1"
"hs","41","0","0.31","0.08","0.07","0.11","0.1","0.1","0.1","0.02","0.04","1","1"
"hs","42","0","0.31","0.09","0.04","0.13","0.1","0.1","0.1","0.02","0.04","1","1"
"hs","43","0.12","0.3","0.08","0.04","0.1","0.1","0.1","0.1","0.02","0.06","1","1"
"hs","44","0.13","0.26","0.1","0.03","0.13","0.1","0.1","0.1","0.05","0.1","1","1"
"hs","45","0.13","0.31","0.09","0.04","0.12","0.11","0.11","0.1","0.04","0.08","1","1"
"hs","46","0.12","0.23","0.1","0","0.12","0.13","0.13","0.13","0.03","0.08","1","1"
"hs","47","0.09","0.25","0.09","0","0.13","0.11","0.12","0.13","0.03","0.02","1","1"
"hs","48","0.13","0.1","0.1","0","0.14","0.18","0.19","0.19","0.03","0.06","1","1"
"hs","49","0.16","0.33","0.16","0.04","0.16","0.14","0.16","0.13","0.04","0.11","1","1"
"hs","50","0.17","0.17","0.12","0.01","0.17","0.17","0.18","0.18","0.01","0.06","1","1"
"hs","51","0.15","0.34","0.14","0.04","0.14","0.14","0.15","0.14","0.07","0.06","1","1"
"hs","52","0","0.31","0.12","0.03","0.15","0.14","0.15","0.14","0.09","0.08","1","1"
"hs","53","0","0.32","0.12","0.02","0.17","0.14","0.15","0.14","0.03","0.08","1","1"
"hs","54","0","0.33","0.12","0.04","0.15","0.14","0.15","0.14","0.05","0.05","1","1"
"hs","55","0","0.33","0.14","0.04","0.14","0.14","0.15","0.14","0.07","0.06","1","1"
"hs","56","0","0.32","0.13","0.01","0.18","0.14","0.15","0.14","0.04","0.06","1","1"
"hs","57","0","0.31","0.14","0.04","0.13","0.14","0.15","0.14","0.06","0.06","1","1"
"hs","58","0","0.34","0.13","0.01","0.14","0.14","0.15","0.14","0.05","0.09","1","1"
"hs","59","0","0.32","0.13","0.02","0.16","0.14","0.15","0.14","0.06","0.08","1","1"
"hs","60","0","0.33","0.12","0.03","0.14","0.14","0.15","0.14","0.08","0.06","1","1"
"hs","61","0","0.36","0.11","0.03","0.14","0.14","0.15","0.14","0.03","0.06","1","1"
"hs","62","0","0.34","0.14","0.03","0.15","0.14","0.15","0.14","0.07","0.09","1","1"
"hs","63","0","0.35","0.12","0.03","0.11","0.14","0.14","0.14","0.06","0.09","1","1"
"hs","64","0","0.33","0.13","0.02","0.14","0.14","0.15","0.14","0.07","0.05","1","1"
"hs","65","0","0.31","0.13","0.01","0.13","0.14","0.15","0.14","0.08","0.06","1","1"
"hs","66","0.15","0.32","0.12","0.02","0.14","0.14","0.15","0.14","0.04","0.05","1","1"
"hs","67","0.11","0.23","0.14","0","0.12","0.15","0.15","0.15","0.03","0.03","1","1"
"hs","68","0.12","0.35","0.11","0.01","0.13","0.11","0.11","0.11","0.03","0.05","1","1"
"hs","69","0","0.34","0.13","0.01","0.11","0.11","0.11","0.1","0.04","0.04","1","1"
"hs","70","0","0.35","0.12","0.01","0.11","0.11","0.11","0.1","0.03","0.04","1","1"
"hs","71","0","0.37","0.12","0.01","0.1","0.11","0.11","0.1","0.04","0.07","1","1"
"hs","72","0.12","0.25","0.08","0.01","0.13","0.14","0.14","0.14","0.06","0.04","1","1"
"hs","73","0.13","0.26","0.11","0.01","0.12","0.13","0.13","0.13","0.05","0.04","1","1"
"hs","74","0.14","0.26","0.1","0.01","0.12","0.12","0.12","0.12","0.04","0.08","1","1"
"hs","75","0.13","0.11","0.11","0.02","0.13","0.15","0.17","0.16","0.02","0.06","1","1"
"hs","76","0","0.3","0.16","0.05","0.16","0.1","0.12","0.1","0.09","0.09","1","1"
"hs","77","0","0.3","0.14","0.01","0.14","0.1","0.12","0.1","0.07","0.08","1","1"
"hs","78","0.11","0.03","0.09","0","0.11","0.2","0.19","0.22","0.01","0.05","1","1"
"hs","79","0.14","0.24","0.11","0.02","0.14","0.15","0.14","0.15","0.03","0.06","1","1"
"hs","80","0.12","0.19","0.09","0.01","0.1","0.15","0.15","0.15","0.06","0.03","1","1"
"hs","81","0.1","0.04","0.1","0.01","0.11","0.13","0.13","0.14","0.02","0.06","1","1"
"hs","82","0.13","0.22","0.13","0.03","0.13","0.12","0.12","0.12","0.05","0.06","1","1"
"hs","83","0.12","0.06","0.13","0.01","0.11","0.16","0.16","0.16","0.01","0.05","1","1"
"hs","84","0.15","0.19","0.12","0","0.15","0.15","0.15","0.15","0.01","0.04","1","1"
"hs","85","0.16","0.23","0.13","0.03","0.13","0.14","0.14","0.14","0.03","0.05","1","1"
"hs","86","0.16","0.23","0.14","0.01","0.14","0.15","0.15","0.15","0.02","0.02","1","1"
"hs","87","0.04","0.26","0.15","0","0.16","0.14","0.14","0.14","0","0.02","1","1"
"hs","88","0.15","0.17","0.16","0","0.14","0.16","0.16","0.17","0","0.01","1","1"
"hs","89","0.16","0.12","0.12","0","0.12","0.15","0.14","0.15","0.01","0.02","1","1"
"hs","90","0.17","0.18","0.14","0","0.14","0.16","0.17","0.16","0.03","0.04","1","1"
"hs","91","0.17","0.26","0.14","0","0.14","0.15","0.15","0.16","0.02","0.05","1","1"
"hs","92","0.16","0.29","0.12","0.01","0.14","0.16","0.16","0.17","0.03","0.05","1","1"
"hs","93","0.16","0.25","0.13","0.01","0.13","0.17","0.16","0.17","0.04","0.04","1","1"
